"Sample_name","class","species","tot"
"MiMammal.0321.1Prt.Dn.1","Actinopteri","Oncorhynchus clarkii",3047
"MiMammal.0321.1Prt.Dn.1","Actinopteri","Oncorhynchus kisutch",2811
"MiMammal.0321.1Prt.Dn.1","Aves","Melospiza melodia",1516
"MiMammal.0321.1Prt.Dn.1","Hyperoartia","Lampetra sp. CBM:ZF:17561",51
"MiMammal.0321.1Prt.Dn.1","Mammalia","Didelphis virginiana",73713
"MiMammal.0321.1Prt.Dn.2","Actinopteri","Oncorhynchus clarkii",2517
"MiMammal.0321.1Prt.Dn.2","Actinopteri","Oncorhynchus kisutch",310
"MiMammal.0321.1Prt.Dn.2","Aves","Aix sponsa",2665
"MiMammal.0321.1Prt.Dn.2","Aves","Pipilo maculatus",9768
"MiMammal.0321.1Prt.Dn.2","Hyperoartia","Lampetra sp. CBM:ZF:17561",1462
"MiMammal.0321.1Prt.Dn.2","Mammalia","Didelphis virginiana",55841
"MiMammal.0321.1Prt.Dn.3","Actinopteri","Oncorhynchus clarkii",2694
"MiMammal.0321.1Prt.Dn.3","Actinopteri","Oncorhynchus kisutch",751
"MiMammal.0321.1Prt.Dn.3","Aves","Aix sponsa",755
"MiMammal.0321.1Prt.Dn.3","Hyperoartia","Lampetra sp. CBM:ZF:17561",55
"MiMammal.0321.1Prt.Dn.3","Mammalia","Didelphis virginiana",60826
"MiMammal.0321.1Prt.Up.1","Actinopteri","Oncorhynchus clarkii",678
"MiMammal.0321.1Prt.Up.1","Actinopteri","Oncorhynchus kisutch",285
"MiMammal.0321.1Prt.Up.1","Aves","Aix sponsa",650
"MiMammal.0321.1Prt.Up.1","Aves","Melospiza melodia",805
"MiMammal.0321.1Prt.Up.1","Aves","Pipilo maculatus",29
"MiMammal.0321.1Prt.Up.1","Hyperoartia","Lampetra sp. CBM:ZF:17561",11
"MiMammal.0321.1Prt.Up.1","Mammalia","Didelphis virginiana",6722
"MiMammal.0321.1Prt.Up.1","Mammalia","Sus scrofa",1978
"MiMammal.0321.1Prt.Up.2","Actinopteri","Oncorhynchus clarkii",780
"MiMammal.0321.1Prt.Up.2","Actinopteri","Oncorhynchus kisutch",67
